id,mood_avg,arousal_avg,screen_avg,call_avg,other_avg,valence_avg,sms_avg,builtin_avg,communication_avg,activity_avg,month,day,day_of_week
AS14.01,6.2,0.2,153.665871795426,1.0,29.968875,0.2,0.0,14.269172727272728,55.09552631578948,0.1340501039893886,2,26,2
AS14.01,6.4,0.6,47.61365115919778,1.0,14.020428571428573,0.5,1.0,7.781159574468085,51.6970625,0.2368802192399581,2,26,2
AS14.01,6.8,0.2,67.06764357868985,0.0,12.137166666666667,0.8,0.0,12.134396226415095,53.4420306122449,0.1427411158050636,2,27,3
AS14.01,6.0,0.8,76.77219898238471,1.0,11.093000000000002,0.0,0.0,4.982505747126437,47.541687179487184,0.0789610561155979,2,27,3
AS14.01,6.75,0.5,169.0972834572078,0.0,29.80316666666667,0.5,1.0,10.026873786407767,69.43750675675676,0.0983741123905067,2,27,3
AS14.01,6.6,-0.2,94.38966092159006,0.0,16.249666666666666,0.6,0.0,8.460123188405797,47.061534031413615,0.1013083216700759,3,21,4
AS14.01,7.0,0.2,129.2011111065193,1.0,9.755333333333333,0.8,1.0,7.982642857142857,43.3532,0.1595106409690974,3,21,4
AS14.01,6.4,-0.6,55.94873863187704,1.0,37.6585,0.6,0.0,81.14995967741935,24.078694444444444,0.0956980216371201,3,21,4
AS14.01,8.0,0.2,130.04096874594688,1.0,24.227714285714285,1.0,1.0,23.52566265060241,47.73143859649123,0.0682028101018696,3,21,4
AS14.01,7.5,-0.5,167.52644447927136,0.0,12.333833333333333,0.75,0.0,7.818207547169812,61.83357142857143,0.049092970521542,3,21,4
AS14.01,7.4,0.0,95.45833871249226,1.0,24.414,0.6,0.0,17.01956896551724,41.33827131782945,0.0705054808833895,3,22,5
AS14.01,6.0,0.2,90.38897895812988,1.0,15.14875,0.0,0.0,5.749033195020747,33.12785869565217,0.118443242712736,3,22,5
AS14.01,6.5,0.3333333333333333,94.50668584034509,1.0,23.54526086956521,0.6666666666666666,0.0,16.428859090909093,33.75685853658536,0.1019166106382234,3,22,5
AS14.01,6.4,-1.2,79.8575932863933,1.0,14.260133333333334,0.0,0.0,9.175747035573124,46.42470096463023,0.049238472708441,3,22,5
AS14.01,6.2,0.2,80.38578571437245,1.0,22.100125,0.4,1.0,10.197026041666666,44.566081300813,0.1266893112073258,3,22,5
AS14.01,6.8,-0.4,53.022714285623465,0.0,11.590428571428571,0.6,0.0,163.00204301075271,37.70818,0.1190023022034455,3,23,6
AS14.01,6.5,-0.75,82.05848351415696,1.0,19.85333333333333,0.5,0.0,33.94523880597015,47.93918571428571,0.0644077994424681,3,23,6
AS14.01,6.5,-0.6666666666666666,80.70804098199623,1.0,21.2935,0.25,0.0,7.079213740458015,57.01562015503876,0.0506706211743178,3,23,6
AS14.01,6.6,-0.4,71.23175472583411,1.0,29.93057142857143,0.3333333333333333,0.0,5.685917197452229,49.10649222797928,0.0753270582613484,3,23,6
AS14.01,7.4,-0.8,67.45417413426871,1.0,43.33175,1.0,0.0,9.582555555555556,38.1300987654321,0.1203841145323287,3,23,6
AS14.01,7.4,-0.4,101.04455433980284,1.0,13.489875,0.8,0.0,6.685560747663551,65.08548,0.078963105194891,3,24,0
AS14.01,7.0,-1.2,85.58411382271994,0.0,8.575333333333333,0.8,0.0,24.064507142857146,27.57514049586777,0.0799862020730605,3,24,0
AS14.01,7.25,-0.75,250.0172127865729,0.0,11.290428571428572,0.75,0.0,5.600851851851853,143.37136956521738,0.0722490614703181,3,24,0
AS14.01,8.0,-1.25,57.307171406064725,0.0,8.564454545454545,1.0,0.0,6.301619718309859,47.68673913043479,0.0140213289543707,3,24,0
AS14.01,7.2,-1.2,138.34959999414593,1.0,12.091333333333331,0.6,1.0,5.463528409090909,51.47844444444444,0.0838873144698841,3,24,0
AS14.01,6.4,0.0,101.38226118194528,1.0,18.4025,0.8,1.0,6.735679324894515,40.68124836601307,0.0901121527807252,3,25,1
AS14.01,7.2,0.75,75.89378787243007,0.0,6.797333333333333,0.5,1.0,6.198744966442954,36.9644,0.1161103361271222,3,25,1
AS14.01,6.6,-0.4,150.1848000073434,1.0,10.7526,0.6,0.0,4.8867345132743365,108.74622935779816,0.0569178566720968,3,25,1
AS14.01,6.8,-0.8,156.86894185598496,1.0,6.827,0.8,0.0,13.583197080291972,65.14215853658537,0.094033006694976,3,25,1
AS14.01,7.8,-0.2,162.1127804953878,1.0,6.2964,1.0,0.0,7.630564516129032,35.431948051948055,0.0994319117238402,3,26,2
AS14.01,7.25,-0.25,93.7473932625203,1.0,6.8404,0.75,1.0,6.144424657534247,57.29567816091954,0.0748162430431159,3,26,2
AS14.01,7.6,-0.25,64.96594913935257,1.0,11.6098,1.0,0.0,33.419728155339804,43.572760869565215,0.1020410589682471,3,26,2
AS14.01,7.4,0.2,84.64628414899272,1.0,10.526666666666666,1.0,0.0,12.09264480874317,46.75272839506173,0.091929551822292,3,26,2
AS14.01,7.6,0.2,96.90226666291557,1.0,7.066333333333333,1.0,0.0,7.963676056338027,54.11195151515151,0.0459856891337655,3,26,2
AS14.01,7.6,-0.4,206.41568224452377,1.0,7.98325,1.0,0.0,9.646519736842103,64.61422,0.0509029881940343,3,27,3
AS14.01,7.2,-0.2,99.10597162889252,1.0,11.4745,0.8,1.0,6.289330769230769,51.261577464788736,0.1090610636368274,3,27,3
AS14.01,7.6,-0.2,221.17169999054497,1.0,9.241,1.0,1.0,8.732515151515152,59.71760465116279,0.2142487716242349,3,27,3
