mood_avg,utilities_avg,social_avg,arousal_avg,screen_avg,office_avg,call_avg,other_avg,valence_avg,unknown_avg,sms_avg,finance_avg,builtin_avg,communication_avg,activity_avg,weather_avg,entertainment_avg,game_avg,travel_avg,mood_avg_next
7.0,13.062,33.49183333333334,0.5,55.06653335889176,17.086,1.0,26.106875,2.0,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.166666666666666
7.166666666666666,13.062,33.49183333333334,0.3333333333333333,55.06653335889176,17.086,0.5,26.106875,0.8333333333333333,25.749571428571425,0.5,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.225
7.225,13.062,33.49183333333334,-0.04999999999999999,55.06653335889176,17.086,0.5,26.106875,0.675,25.749571428571425,0.5,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.45
7.45,13.062,33.49183333333334,0.675,55.06653335889176,17.086,0.0,26.106875,1.1,25.749571428571425,0.5,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.3
7.3,13.062,33.49183333333334,0.2,55.06653335889176,17.086,0.0,26.106875,0.9,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.2
7.2,13.062,33.49183333333334,-0.09999999999999998,55.06653335889176,17.086,0.5,26.106875,1.1,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.066666666666666
7.066666666666666,13.062,33.49183333333334,-0.16666666666666669,55.06653335889176,17.086,0.0,26.106875,0.6333333333333333,25.749571428571425,0.5,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,6.4
6.4,13.062,33.49183333333334,0.2,55.06653335889176,17.086,0.0,26.106875,0.4,25.749571428571425,0.5,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,6.7
6.7,13.062,33.49183333333334,0.4,55.06653335889176,17.086,0.0,26.106875,0.6,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.2125
7.2125,13.062,138.94195833333333,-0.4375,46.0988611049122,17.086,0.5,41.56941875,0.9625,25.749571428571425,0.5,8.0384,7.774616666666667,39.00131818181818,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,7.516666666666667
7.516666666666667,7.177888888888888,38.96841048534799,-0.10833333333333334,58.54086202651538,17.086,0.5,54.7987149691358,1.1416666666666666,25.749571428571425,0.6666666666666666,8.0384,13.965981195963344,27.127669469696972,0.16806841495032568,3.02,42.400792307692306,31.647000000000002,93.22961471861471,6.375
6.375,10.32925,150.54656666666668,0.125,51.34366891603616,17.086,0.5,18.631653046594984,0.3666666666666667,18.6877,0.6666666666666666,8.0384,17.477922151278673,38.17155981136416,0.16806841495032568,3.02,51.6117547735952,31.647000000000002,74.20119047619048,6.472222222222222
6.472222222222222,11.630249999999998,34.99029836601307,-0.7305555555555555,69.05856733856153,26.45266666666667,0.5,20.734901994569757,0.38055555555555554,24.331166666666665,0.3333333333333333,19.082,19.84285217526139,52.43861639062431,0.16806841495032568,3.02,67.08709389671361,31.647000000000002,66.61909523809524,6.391666666666667
6.391666666666667,6.289611111111111,293.9452047619048,-0.08333333333333333,50.04148303572462,35.81933333333333,0.3333333333333333,13.271133514492753,0.4166666666666667,3.5340000000000003,0.16666666666666666,20.591,13.212189106997114,67.03356283891547,0.06307051048274993,3.02,92.56723541666666,31.647000000000002,59.037000000000006,7.1499999999999995
7.1499999999999995,15.441583333333334,18.693856309808613,0.20833333333333334,70.01338886581298,45.186,0.6666666666666666,23.94491725327812,0.8333333333333334,7.07225,0.3333333333333333,22.100000000000005,12.353373107176987,71.7590879651476,0.10783610224789174,3.02,229.30402294685987,31.647000000000002,47.276,6.992857142857143
6.992857142857143,7.766857142857143,44.70549206349206,0.028571428571428574,63.50228834352678,136.66199999999998,0.42857142857142855,36.200785714285715,0.9357142857142857,25.414904761904758,0.2857142857142857,12.802318181818183,13.660998970852708,41.59228910408029,0.07640728678699857,3.02,114.67117857142857,31.647,27.55318660714286,6.616666666666667
6.616666666666667,6.231,47.32604223227752,0.12833333333333333,74.00227864781061,228.138,0.5,16.448432051282047,0.63,492.73725,0.6,3.504636363636364,58.5131464803993,45.478643253559525,0.10309652059970595,3.02,113.09428636363637,31.647,49.80512307692308,6.934444444444444
6.934444444444444,11.863896296296296,41.316223258673695,0.19333333333333333,96.85632132880399,12.054946666666668,0.6666666666666666,24.620505527870062,0.8311111111111111,15.45,0.4666666666666667,96.89899999999999,45.523428572355655,67.34158483809304,0.11327469618894476,3.02,66.92340708151087,135.18625,58.22532307692308,6.728125
6.728125,13.947939102564103,49.81113306983714,-0.14375,71.53913074133833,4.436333333333333,0.3125,24.27184082115801,0.5322916666666667,44.32825148809524,0.3125,44.34658333333332,16.831315536537147,53.09342682398004,0.14256077466233869,3.02,80.99879822002232,238.7255,208.0362715201465,7.002941176470588
7.002941176470588,9.509326470588235,61.94125764096491,-0.020588235294117626,90.58244592961219,40.4995,0.4117647058823529,45.33392515597148,0.7147058823529412,21.98474705882353,0.5294117647058824,18.21675,16.91846334845138,70.01933260119519,0.10545695761868731,166.30985294117647,65.36858031607206,342.26475,21.00884439511654,6.783333333333333
