id,date,mood_avg,utilities_avg,social_avg,arousal_avg,screen_avg,office_avg,call_avg,other_avg,valence_avg,unknown_avg,sms_avg,finance_avg,builtin_avg,communication_avg,activity_avg,weather_avg,entertainment_avg,game_avg,travel_avg,month,day,day_of_week,mood_avg_next
AS14.01,2014-02-26,6.25,23.029,75.14166666666667,-0.25,153.665871795426,57.40200000000001,1.0,29.968875,0.75,29.402875,1.0,6.193,14.269172727272728,55.09552631578948,0.1340501039893886,30.386,53.024,116.518,70.41884615384616,2,26,2,6.333333333333333
AS14.01,2014-02-26,6.333333333333333,23.029,75.14166666666667,0.0,153.665871795426,57.40200000000001,0.0,29.968875,0.3333333333333333,29.402875,0.0,6.193,14.269172727272728,55.09552631578948,0.1340501039893886,30.386,53.024,116.518,70.41884615384616,2,26,2,6.2
AS14.01,2014-02-26,6.2,23.029,75.14166666666667,0.2,153.665871795426,57.40200000000001,1.0,29.968875,0.2,29.402875,0.0,6.193,14.269172727272728,55.09552631578948,0.1340501039893886,30.386,53.024,116.518,70.41884615384616,2,26,2,6.4
AS14.01,2014-02-26,6.4,39.207,36.636,0.6,47.61365115919778,57.40200000000001,1.0,14.020428571428573,0.5,29.402875,1.0,7.025333333333333,7.781159574468085,51.6970625,0.2368802192399581,30.386,46.662,116.518,37.305,2,26,2,6.8
AS14.01,2014-02-27,6.8,30.086,50.04661111111111,0.2,67.06764357868985,3.01,0.0,12.137166666666667,0.8,29.402875,0.0,10.85075,12.134396226415095,53.4420306122449,0.1427411158050636,30.386,31.448666666666668,116.518,83.961,2,27,3,6.0
AS14.01,2014-02-27,6.0,89.366,74.9680465116279,0.8,76.77219898238471,3.01,1.0,11.093000000000002,0.0,29.402875,0.0,5.684333333333334,4.982505747126437,47.541687179487184,0.0789610561155979,30.386,122.121375,116.518,83.961,2,27,3,6.75
AS14.01,2014-02-27,6.75,22.2893,68.55253571428571,0.5,169.0972834572078,3.01,0.0,29.80316666666667,0.5,29.402875,1.0,10.7635,10.026873786407767,69.43750675675676,0.0983741123905067,30.386,34.103,116.518,83.961,2,27,3,6.6
AS14.01,2014-03-21,6.6,33.365,124.1097027027027,-0.2,94.38966092159006,17.327933333333334,0.0,16.249666666666666,0.6,33.2385,0.0,8.721833333333334,8.460123188405797,47.061534031413615,0.1013083216700759,9.017,130.06842857142857,116.518,59.63205263157895,3,21,4,7.0
AS14.01,2014-03-21,7.0,16.275363636363636,71.95238461538462,0.2,129.2011111065193,15.20425,1.0,9.755333333333333,0.8,33.2385,1.0,14.073,7.982642857142857,43.3532,0.1595106409690974,9.017,71.03766666666667,116.518,23.657,3,21,4,6.4
AS14.01,2014-03-21,6.4,30.1717,25.63705,-0.6,55.94873863187704,17.327933333333334,1.0,37.6585,0.6,33.2385,0.0,12.738,81.14995967741935,24.078694444444444,0.0956980216371201,9.017,91.40027272727274,116.518,59.63205263157895,3,21,4,8.0
AS14.01,2014-03-21,8.0,25.026541666666663,59.111,0.2,130.04096874594688,17.327933333333334,1.0,24.227714285714285,1.0,33.2385,1.0,12.738,23.52566265060241,47.73143859649123,0.0682028101018696,9.017,108.49526666666668,116.518,17.47833333333333,3,21,4,7.5
AS14.01,2014-03-21,7.5,38.296,55.895,-0.5,167.52644447927136,17.327933333333334,0.0,12.333833333333333,0.75,33.2385,0.0,12.738,7.818207547169812,61.83357142857143,0.049092970521542,9.017,170.63077777777778,116.518,59.63205263157895,3,21,4,7.4
AS14.01,2014-03-22,7.4,12.370882352941177,56.27729166666666,0.0,95.45833871249226,5.938972222222223,1.0,24.414,0.6,29.29,0.0,6.875833333333333,17.01956896551724,41.33827131782945,0.0705054808833895,13.441,51.73294117647059,51.176,36.6762,3,22,5,6.0
AS14.01,2014-03-22,6.0,19.171703703703702,45.81879090909091,0.2,90.38897895812988,30.796000000000003,1.0,15.14875,0.0,11.114,0.0,15.21738888888889,5.749033195020747,33.12785869565217,0.118443242712736,13.441,42.94320833333333,78.247,115.33007142857144,3,22,5,6.5
AS14.01,2014-03-22,6.5,21.3356875,64.69418867924529,0.3333333333333333,94.50668584034509,90.481,1.0,23.54526086956521,0.6666666666666666,11.114,0.0,13.040894736842104,16.428859090909093,33.75685853658536,0.1019166106382234,13.441,46.32331034482758,78.247,22.60585714285714,3,22,5,6.4
AS14.01,2014-03-22,6.4,14.059384615384618,44.42592957746479,-1.2,79.8575932863933,5.938972222222223,1.0,14.260133333333334,0.0,11.114,0.0,25.41133333333333,9.175747035573124,46.42470096463023,0.049238472708441,13.441,49.75503846153846,78.247,19.082,3,22,5,6.2
AS14.01,2014-03-22,6.2,9.899384615384616,71.93782758620691,0.2,80.38578571437245,5.938972222222223,1.0,22.100125,0.4,11.114,1.0,6.875833333333333,10.197026041666666,44.566081300813,0.1266893112073258,13.441,96.5766875,78.247,22.60585714285714,3,22,5,6.8
AS14.01,2014-03-23,6.8,13.217333333333334,45.401,-0.4,53.022714285623465,4.000342465753424,0.0,11.590428571428571,0.6,6.699888888888889,0.0,9.2256,163.00204301075271,37.70818,0.1190023022034455,17.865000000000002,76.369,57.203,31.324166666666667,3,23,6,6.5
AS14.01,2014-03-23,6.5,9.2498,64.292,-0.75,82.05848351415696,4.000342465753424,1.0,19.85333333333333,0.5,6.699888888888889,0.0,9.2256,33.94523880597015,47.93918571428571,0.0644077994424681,17.865000000000002,93.607,57.203,20.2236,3,23,6,6.5
