date,id,mood_avg,utilities_avg,social_avg,arousal_avg,screen_avg,office_avg,call_avg,other_avg,valence_avg,unknown_avg,sms_avg,finance_avg,builtin_avg,communication_avg,activity_avg,weather_avg,entertainment_avg,game_avg,travel_avg,month,day,day_of_week
2014-02-26,AS14.01,6.25,13.062,33.49183333333334,-0.25,55.06653335889176,17.086,1.0,26.106875,0.75,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,2,26,2
2014-02-27,AS14.01,6.333333333333333,13.062,33.49183333333334,0.0,55.06653335889176,17.086,0.0,26.106875,0.3333333333333333,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,2,27,3
2014-03-04,AS14.17,7.0,13.062,33.49183333333334,0.5,55.06653335889176,17.086,1.0,26.106875,2.0,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,4,1
2014-03-05,AS14.08,6.333333333333333,13.062,33.49183333333334,0.0,55.06653335889176,17.086,0.0,26.106875,0.3333333333333333,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,5,2
2014-03-05,AS14.17,8.0,13.062,33.49183333333334,0.6666666666666666,55.06653335889176,17.086,1.0,26.106875,1.3333333333333333,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,5,2
2014-03-06,AS14.08,7.2,13.062,33.49183333333334,-0.6,55.06653335889176,17.086,0.0,26.106875,0.6,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,6,3
2014-03-06,AS14.17,7.25,13.062,33.49183333333334,0.5,55.06653335889176,17.086,1.0,26.106875,0.75,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,6,3
2014-03-07,AS14.08,7.4,13.062,33.49183333333334,0.6,55.06653335889176,17.086,0.0,26.106875,1.2,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,7,4
2014-03-07,AS14.17,7.5,13.062,33.49183333333334,0.75,55.06653335889176,17.086,0.0,26.106875,1.0,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,7,4
2014-03-08,AS14.08,7.0,13.062,33.49183333333334,0.0,55.06653335889176,17.086,0.0,26.106875,1.0,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,8,5
2014-03-08,AS14.17,7.6,13.062,33.49183333333334,0.4,55.06653335889176,17.086,0.0,26.106875,0.8,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,8,5
2014-03-09,AS14.08,7.2,13.062,33.49183333333334,-1.0,55.06653335889176,17.086,0.0,26.106875,1.2,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,9,6
2014-03-09,AS14.17,7.2,13.062,33.49183333333334,0.8,55.06653335889176,17.086,1.0,26.106875,1.0,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,9,6
2014-03-10,AS14.08,6.8,13.062,33.49183333333334,-1.0,55.06653335889176,17.086,0.0,26.106875,0.6,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,10,0
2014-03-10,AS14.17,7.333333333333333,13.062,33.49183333333334,0.6666666666666666,55.06653335889176,17.086,0.0,26.106875,0.6666666666666666,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,10,0
2014-03-11,AS14.08,6.6,13.062,33.49183333333334,0.4,55.06653335889176,17.086,0.0,26.106875,0.4,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,11,1
2014-03-11,AS14.17,6.2,13.062,33.49183333333334,0.0,55.06653335889176,17.086,0.0,26.106875,0.4,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,11,1
2014-03-12,AS14.08,7.0,13.062,33.49183333333334,0.6,55.06653335889176,17.086,0.0,26.106875,1.0,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,12,2
2014-03-12,AS14.17,6.4,13.062,33.49183333333334,0.2,55.06653335889176,17.086,0.0,26.106875,0.2,25.749571428571425,0.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,12,2
2014-03-13,AS14.08,6.6,13.062,33.49183333333334,0.0,55.06653335889176,17.086,0.0,26.106875,0.6,25.749571428571425,1.0,8.0384,14.101,47.864666666666665,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,13,3
2014-03-13,AS14.13,7.0,13.062,174.092,-2.0,83.48246666590373,17.086,1.0,46.7236,1.0,25.749571428571425,0.0,8.0384,7.169666666666667,46.67227272727273,0.1680684149503257,3.02,36.754,31.647,116.12227272727272,3,13,3
