date,id,mood_avg,utilities_avg,social_avg,arousal_avg,screen_avg,office_avg,call_avg,other_avg,valence_avg,unknown_avg,sms_avg,finance_avg,builtin_avg,communication_avg,activity_avg,weather_avg,entertainment_avg,game_avg,travel_avg,month,day,day_of_week
2014-03-16,AS14.13,6.4,,38.07986666666667,-1.0,83.4051525269524,,0.0,48.289857142857144,0.2,23.663,0.0,,10.722999999999999,43.29553333333333,,,37.964,,,3,16,6
2014-03-16,AS14.15,6.166666666666667,,,-0.6666666666666666,,,1.0,,0.3333333333333333,,0.0,,,,,,,,,3,16,6
2014-03-16,AS14.16,6.6,,,-0.8,33.153818173842,,0.0,12.717333333333334,0.5,,1.0,19.082,9.766210526315788,13.382777777777777,,,,,,3,16,6
2014-03-17,AS14.02,6.75,,10.3028,0.5,76.38924061086837,,1.0,12.962375,0.5,,0.0,,9.313234848484848,47.55911578947369,0.1680684149503257,,502.2356,,,3,17,0
2014-03-17,AS14.05,6.0,6.442666666666668,,-0.4,61.019826101220175,,0.0,7.4136,0.4,3.5340000000000003,1.0,,44.18931578947368,31.123315789473683,0.08337052096204704,,10.6335625,,,3,17,0
2014-03-17,AS14.08,5.4,,498.1381428571429,0.0,50.667464290346395,,0.0,6.839499999999999,0.2,,0.0,,4.041714285714286,205.82199999999997,0.00555555555555555,,,,,3,17,0
2014-03-17,AS14.13,6.6,6.259,42.651,0.0,32.11036733461886,,0.0,30.498826086956523,0.8,,0.0,,14.466619718309861,30.761545454545455,,,,,59.037000000000006,3,17,0
2014-03-17,AS14.15,6.4,,,0.0,0.694999933242798,,1.0,,0.0,,0.0,,3.322,,0.0,,,,,3,17,0
2014-03-17,AS14.16,7.2,,216.303,-0.6,79.36699994405109,,0.0,15.073,0.6,,0.0,,3.9402500000000003,43.467699999999994,0.06071428571428575,,,,,3,17,0
2014-03-18,AS14.02,8.2,,11.177052631578947,0.6,27.51506708162587,,1.0,17.744400000000002,0.8,,1.0,,18.213433566433565,33.05110084033613,0.21948438425543756,,29.647666666666666,,,3,18,1
2014-03-18,AS14.05,7.5,7.2395,,0.25,95.69368000984201,,1.0,11.222333333333333,1.0,7.07225,0.0,,12.811333333333334,73.52534999999999,0.11319590615792095,,13.121304347826086,,,3,18,1
2014-03-18,AS14.08,6.4,,25.214812499999997,-0.2,59.91681816361166,,0.0,6.7338571428571425,0.6,,0.0,,2.96,28.675840000000004,0.028491361781937872,,47.59666666666667,,,3,18,1
2014-03-18,AS14.13,7.0,,18.942818181818183,-0.2,29.241638282512103,,0.0,42.65891304347826,0.8,,0.0,,11.592708333333334,150.8266923076923,,,1232.164,,,3,18,1
2014-03-18,AS14.15,7.2,17.082,,0.4,178.59049999713903,45.186,1.0,54.256,1.2,,0.0,,23.259568965517243,111.2966875,0.11873714520773347,,5.019,,47.275999999999996,3,18,1
2014-03-18,AS14.16,6.6,,,0.4,29.122629660147226,,1.0,11.054,0.6,,1.0,22.1,5.283194444444444,33.17885714285714,0.053911909926399944,,48.2755,,,3,18,1
2014-03-19,AS14.02,6.8,,9.562999999999999,0.4,49.59246666792669,,1.0,17.589333333333332,0.4,,1.0,,11.430573529411765,32.87327848101266,0.31563175685064315,,16.344916666666666,,17.72390625,3,19,2
2014-03-19,AS14.05,6.75,7.545,,1.0,72.56916668017703,,0.0,15.299625,0.75,7.797666666666667,0.0,,16.843357142857144,55.39411538461538,0.13369126492653632,,12.275916666666665,,,3,19,2
2014-03-19,AS14.07,6.8,,156.94333333333333,-1.0,69.85961818984056,,0.0,15.145333333333333,1.4,28.35111111111111,1.0,,14.322539682539682,33.056147959183676,,,195.9136666666667,,29.191399999999998,3,19,2
2014-03-19,AS14.08,7.0,9.097999999999999,72.80411111111111,-0.2,55.377575729832486,,1.0,8.04525,1.0,,0.0,,4.983700000000001,30.657878787878786,0.0630171632209882,,6.61775,,,3,19,2
2014-03-19,AS14.13,7.8,,18.407,-0.2,118.47190624289223,,0.0,175.14995833333333,1.2,,0.0,,27.254482758620693,73.41804615384615,,,358.3003333333333,,,3,19,2
2014-03-19,AS14.15,7.4,,,0.2,,,1.0,,1.2,,0.0,,,,,,,,,3,19,2
2014-03-19,AS14.16,6.4,,,0.0,8.785666704177864,,0.0,11.088,0.6,,0.0,,6.469799999999999,,0.005627705627705628,,17.332,,,3,19,2
2014-03-20,AS14.02,7.25,,14.622000000000002,-0.5,34.3333385929348,,1.0,10.857125,0.75,,1.0,,12.01335810810811,31.681926470588238,0.23902496021034736,,14.818000000000001,,,3,20,3
2014-03-20,AS14.05,7.2,,,1.0,73.679787866997,,0.0,12.092,0.8,,1.0,,12.2208,73.55513114754099,0.11845679938612319,,11.645863636363636,,,3,20,3
2014-03-20,AS14.07,5.25,,63.87729411764706,-0.75,97.626254547726,,0.0,12.49042857142857,-0.25,,1.0,,19.65288157894737,46.57875675675675,,,225.8926,,,3,20,3
2014-03-20,AS14.08,6.4,,51.486615384615384,-0.2,40.61296294353627,,0.0,6.8585714285714285,0.8,,1.0,,442.0800909090909,16.43764705882353,0.05752387767589226,,,,,3,20,3
2014-03-20,AS14.13,6.4,,41.467,0.8,47.598922646506736,,0.0,52.243666666666655,0.2,,0.0,,12.843555555555556,36.632617224880384,0.2875173962358836,,47.910999999999994,,,3,20,3
2014-03-20,AS14.14,7.0,,,0.3333333333333333,,,1.0,,0.6666666666666666,,0.0,,,,,,,,,3,20,3
2014-03-20,AS14.15,7.0,,,0.6,163.32712495327002,,1.0,,1.0,,1.0,,30.6196,169.44940000000003,0.02976190476190475,,,,,3,20,3
2014-03-20,AS14.16,5.666666666666667,,34.951,0.6666666666666666,29.48735712255752,,1.0,10.029,0.3333333333333333,,1.0,,12.94868,12.215875,0.04383822653596662,,15.348,,,3,20,3
2014-03-20,AS14.20,7.0,,47.557,-1.0,73.88019995689392,,0.0,,1.0,545.854,0.0,,30.207857142857144,6.086,,,43.303,31.647,,3,20,3
2014-03-20,AS14.30,7.0,6.231,64.83966666666667,0.3333333333333333,89.73841892384189,228.138,1.0,27.342153846153845,1.0,14.686499999999999,0.0,3.5046363636363638,6.272320754716981,45.711431818181815,0.0822704081632655,,193.0061,,,3,20,3
2014-03-21,AS14.01,6.2,23.029,75.14166666666667,0.2,153.665871795426,57.40200000000001,1.0,29.968875,0.2,,0.0,6.193,14.269172727272727,55.09552631578948,0.13405010398938863,,53.024,,70.41884615384616,3,21,4
2014-03-21,AS14.02,7.5,,16.16754166666667,-0.75,75.37737161565468,,1.0,9.486,0.75,,1.0,,12.459793296089385,44.66321875,0.28962792490010747,,153.20133333333334,,24.572,3,21,4
2014-03-21,AS14.03,9.0,,,1.0,33.299080018997195,10.046,1.0,36.2392,2.0,,1.0,,15.277727272727274,45.38786842105263,,,31.5339,,,3,21,4
2014-03-21,AS14.05,7.25,,,0.0,34.45817044919189,,1.0,10.7696,1.0,,1.0,,17.121478260869566,31.491374999999998,0.050197722898856136,,4.817846153846154,,,3,21,4
2014-03-21,AS14.07,7.0,31.218,92.9798,0.3333333333333333,193.01218279715508,,0.0,11.2845,1.0,,0.0,,14.965349999999999,30.31673846153846,,,130.52083333333334,,54.867999999999995,3,21,4
2014-03-21,AS14.08,6.6,16.105333333333334,24.66325,-0.4,46.85122950350652,,0.0,7.454428571428571,0.6,,1.0,,17.988666666666667,47.64269230769231,0.00894230236465267,,,,,3,21,4
2014-03-21,AS14.09,7.0,1.0099999999999998,,0.0,73.36180485167152,2.113,1.0,36.15133333333333,1.0,,1.0,,7.32675,39.389709677419354,,,17.651902439024393,,,3,21,4
2014-03-21,AS14.13,6.4,,10.1743125,0.6,91.0457746344553,,0.0,10.9863,0.6,,1.0,,11.086615384615385,77.60269230769231,0.08464871219157337,,111.30181818181818,,23.503,3,21,4
2014-03-21,AS14.14,6.4,,42.78542424242425,-0.6,57.10271195225095,,1.0,89.73276744186046,0.4,,0.0,103.378,10.018126811594204,52.276892857142855,0.1733855664203312,,12.641705882352943,,63.638,3,21,4
2014-03-21,AS14.15,7.0,,,0.2,63.08615383735068,3.01,1.0,7.0585,0.8,,0.0,,34.28957142857143,21.691111111111113,0.06922398589065254,,,,,3,21,4
2014-03-21,AS14.16,6.8,,62.6,1.0,25.9119090817191,,1.0,,1.0,,0.0,,6.480625,13.812111111111111,0.060560360921981006,,5.041,,,3,21,4
