date,mood,appCat.utilities,appCat.social,circumplex.arousal,screen,appCat.office,call,appCat.other,circumplex.valence,appCat.unknown,sms,appCat.finance,appCat.builtin,appCat.communication,activity,appCat.weather,appCat.entertainment,appCat.game,appCat.travel
2014-03-04,7.0,10.32925,49.583,0.5,46.20419196518405,228.138,1.0,29.457416666666663,2.0,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-05,7.166666666666667,10.32925,49.583,0.3333333333333333,46.20419196518405,228.138,1.0,29.457416666666663,0.8333333333333334,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-06,7.222222222222222,10.32925,49.583,-0.1111111111111111,46.20419196518405,228.138,1.0,29.457416666666663,0.6666666666666666,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-07,7.444444444444445,10.32925,49.583,0.6666666666666666,46.20419196518405,228.138,1.0,29.457416666666663,1.1111111111111112,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-08,7.3,10.32925,49.583,0.2,46.20419196518405,228.138,1.0,29.457416666666663,0.9,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-09,7.2,10.32925,49.583,-0.1,46.20419196518405,228.138,1.0,29.457416666666663,1.1,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-10,7.0,10.32925,49.583,-0.375,46.20419196518405,228.138,1.0,29.457416666666663,0.625,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-11,6.4,10.32925,49.583,0.2,46.20419196518405,228.138,1.0,29.457416666666663,0.4,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-12,6.7,10.32925,49.583,0.4,46.20419196518405,228.138,1.0,29.457416666666663,0.6,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
2014-03-13,7.083333333333333,10.32925,49.583,0.0,46.20419196518405,228.138,1.0,29.457416666666663,0.8333333333333334,24.66525,1.0,22.1,20.23154044117647,41.07906578947368,0.14389479440399888,15.07,26.808108333333333,115.79533333333332,59.037000000000006
